Approved_symbol,HGNC_ID,Approved_symbol,Chromosome,Locus_group,Locus_type,HGNC_family_name,Date_symbol_changed,Ensembl_gene_ID,NCBI_gene_ID,UniProt_accession
NXF1,HGNC:8071,NXF1,11,protein-coding gene,gene with protein product,,,ENSG00000162231,10482,Q9UBU9
NXF2,HGNC:8072,NXF2,X,protein-coding gene,gene with protein product,,,ENSG00000269405,56001,Q9GZY0
NXF2B,HGNC:23984,NXF2B,X,protein-coding gene,gene with protein product,,,ENSG00000269437,728343,Q9GZY0
NXF3,HGNC:8073,NXF3,X,protein-coding gene,gene with protein product,,,ENSG00000147206,56000,Q9H4D5
NXF4,HGNC:8074,NXF4,X,pseudogene,pseudogene,,,ENSG00000196970,55999,
NXF5,HGNC:8075,NXF5,X,protein-coding gene,gene with protein product,,,ENSG00000126952,55998,Q9H1B4
NXN,HGNC:18008,NXN,17,protein-coding gene,gene with protein product,,,ENSG00000167693,64359,Q6DKJ4
NXNL1,HGNC:25179,NXNL1,19,protein-coding gene,gene with protein product,,2007-08-16,ENSG00000171773,115861,Q96CM4
NXNL2,HGNC:30482,NXNL2,9,protein-coding gene,gene with protein product,,2007-08-16,ENSG00000130045,158046,Q5VZ03
NXNP1,HGNC:50561,NXNP1,1,pseudogene,pseudogene,,,ENSG00000226693,100130251,
NXPE1,HGNC:28527,NXPE1,11,protein-coding gene,gene with protein product,,2012-06-11,ENSG00000095110,120400,Q8N323
NXPE2,HGNC:26331,NXPE2,11,protein-coding gene,gene with protein product,,2012-06-11,ENSG00000204361,120406,Q96DL1
NXPE2P1,HGNC:44082,NXPE2P1,11,pseudogene,pseudogene,,,ENSG00000255982,101926945,
NXPE3,HGNC:28238,NXPE3,3,protein-coding gene,gene with protein product,,2012-06-11,ENSG00000144815,91775,Q969Y0
NXPE4,HGNC:23117,NXPE4,11,protein-coding gene,gene with protein product,,2012-06-11,ENSG00000137634,54827,Q6UWF7
NXPH1,HGNC:20693,NXPH1,7,protein-coding gene,gene with protein product,,,ENSG00000122584,30010,P58417
NXPH2,HGNC:8076,NXPH2,2,protein-coding gene,gene with protein product,,,ENSG00000144227,11249,O95156
NXPH3,HGNC:8077,NXPH3,17,protein-coding gene,gene with protein product,,,ENSG00000182575,11248,O95157
NXPH4,HGNC:8078,NXPH4,12,protein-coding gene,gene with protein product,,,ENSG00000182379,11247,O95158
NXT1,HGNC:15913,NXT1,20,protein-coding gene,gene with protein product,,,ENSG00000132661,29107,Q9UKK6
NXT1-AS1,HGNC:40734,NXT1-AS1,20,non-coding RNA,"RNA, long non-coding",,,ENSG00000234832,105372572,
NXT1P1,HGNC:39708,NXT1P1,13,pseudogene,pseudogene,,,ENSG00000214823,100652801,
NXT2,HGNC:18151,NXT2,X,protein-coding gene,gene with protein product,,,ENSG00000101888,55916,Q9NPJ8
NYAP1,HGNC:22009,NYAP1,7,protein-coding gene,gene with protein product,,2011-11-30,ENSG00000166924,222950,Q6ZVC0
NYAP2,HGNC:29291,NYAP2,2,protein-coding gene,gene with protein product,,2011-11-30,ENSG00000144460,57624,Q9P242
NYNRIN,HGNC:20165,NYNRIN,14,protein-coding gene,gene with protein product,,2009-10-14,ENSG00000205978,57523,Q9P2P1
NYX,HGNC:8082,NYX,X,protein-coding gene,gene with protein product,,,ENSG00000188937,60506,Q9GZU5
OACYLP,HGNC:44362,OACYLP,18,pseudogene,pseudogene,,,ENSG00000224367,390858,
OAF,HGNC:28752,OAF,11,protein-coding gene,gene with protein product,,,ENSG00000184232,220323,Q86UD1
OARD1,HGNC:21257,OARD1,6,protein-coding gene,gene with protein product,,2012-11-06,ENSG00000124596,221443,Q9Y530
OAS1,HGNC:8086,OAS1,12,protein-coding gene,gene with protein product,,,ENSG00000089127,4938,P00973
OAS2,HGNC:8087,OAS2,12,protein-coding gene,gene with protein product,,,ENSG00000111335,4939,P29728
OAS3,HGNC:8088,OAS3,12,protein-coding gene,gene with protein product,,,ENSG00000111331,4940,Q9Y6K5
OASL,HGNC:8090,OASL,12,protein-coding gene,gene with protein product,,,ENSG00000135114,8638,Q15646
OASL2P,HGNC:53738,OASL2P,12,pseudogene,pseudogene,,,ENSG00000283542,111216278,
OAT,HGNC:8091,OAT,10,protein-coding gene,gene with protein product,,,ENSG00000065154,4942,P04181
OATP1,HGNC:8094,OATP1,10,pseudogene,pseudogene,,2010-10-15,,4945,
OAZ1,HGNC:8095,OAZ1,19,protein-coding gene,gene with protein product,,,ENSG00000104904,4946,P54368
OAZ1P1,HGNC:54556,OAZ1P1,1,pseudogene,pseudogene,,,ENSG00000226745,728602,
OAZ2,HGNC:8096,OAZ2,15,protein-coding gene,gene with protein product,,,ENSG00000180304,4947,O95190
OAZ3,HGNC:8097,OAZ3,1,protein-coding gene,gene with protein product,,,ENSG00000143450,51686,Q9UMX2
OBI1,HGNC:20308,OBI1,13,protein-coding gene,gene with protein product,,2019-06-14,ENSG00000152193,79596,Q5W0B1
OBI1-AS1,HGNC:42700,OBI1-AS1,13,non-coding RNA,"RNA, long non-coding",,2019-06-14,ENSG00000234377,100874222,
OBP2A,HGNC:23380,OBP2A,9,protein-coding gene,gene with protein product,,,ENSG00000122136,29991,Q9NY56
OBP2B,HGNC:23381,OBP2B,9,protein-coding gene,gene with protein product,,,ENSG00000171102,29989,Q9NPH6
OBSCN,HGNC:15719,OBSCN,1,protein-coding gene,gene with protein product,,,ENSG00000154358,84033,Q5VST9
OBSCN-AS1,HGNC:32047,OBSCN-AS1,1,non-coding RNA,"RNA, long non-coding",,2017-04-19,ENSG00000162913,574407,Q96MR7
OBSL1,HGNC:29092,OBSL1,2,protein-coding gene,gene with protein product,,,ENSG00000124006,23363,O75147
OC90,HGNC:8100,OC90,8,protein-coding gene,gene with protein product,,,ENSG00000253117,729330,Q02509
OCA2,HGNC:8101,OCA2,15,protein-coding gene,gene with protein product,,,ENSG00000104044,4948,Q04671
OCEL1,HGNC:26221,OCEL1,19,protein-coding gene,gene with protein product,,,ENSG00000099330,79629,Q9H607
OCIAD1,HGNC:16074,OCIAD1,4,protein-coding gene,gene with protein product,,,ENSG00000109180,54940,Q9NX40
OCIAD1-AS1,HGNC:40751,OCIAD1-AS1,4,non-coding RNA,"RNA, long non-coding",,,ENSG00000248256,100861517,
OCIAD2,HGNC:28685,OCIAD2,4,protein-coding gene,gene with protein product,,,ENSG00000145247,132299,Q56VL3
OCIAD2P1,HGNC:31827,OCIAD2P1,8,pseudogene,pseudogene,,,,100287085,
OCLN,HGNC:8104,OCLN,5,protein-coding gene,gene with protein product,,,ENSG00000197822,100506658,Q16625
OCLNP1,HGNC:53916,OCLNP1,5,pseudogene,pseudogene,,,ENSG00000230847,647859,
OCM,HGNC:8105,OCM,7,protein-coding gene,gene with protein product,,,ENSG00000122543,654231,P0CE72
OCM2,HGNC:34396,OCM2,7,protein-coding gene,gene with protein product,,,ENSG00000135175,4951,P0CE71
OCRL,HGNC:8108,OCRL,X,protein-coding gene,gene with protein product,,,ENSG00000122126,4952,Q01968
OCSTAMP,HGNC:16116,OCSTAMP,20,protein-coding gene,gene with protein product,,2012-03-27,ENSG00000149635,128506,Q9BR26
ODAD1,HGNC:26560,ODAD1,19,protein-coding gene,gene with protein product,,2020-09-21,ENSG00000105479,93233,Q96M63
ODAD2,HGNC:25583,ODAD2,10,protein-coding gene,gene with protein product,,2020-09-21,ENSG00000169126,55130,Q5T2S8
ODAD2P1,HGNC:44937,ODAD2P1,10,pseudogene,pseudogene,,2020-09-21,ENSG00000238021,101060171,
ODAD3,HGNC:28303,ODAD3,19,protein-coding gene,gene with protein product,,2020-09-21,ENSG00000198003,115948,A5D8V7
ODAD4,HGNC:25280,ODAD4,17,protein-coding gene,gene with protein product,,2020-09-21,ENSG00000204815,83538,Q96NG3
ODAM,HGNC:26043,ODAM,4,protein-coding gene,gene with protein product,,,ENSG00000109205,54959,A1E959
ODAPH,HGNC:26300,ODAPH,4,protein-coding gene,gene with protein product,,2017-08-09,ENSG00000174792,152816,Q17RF5
ODC1,HGNC:8109,ODC1,2,protein-coding gene,gene with protein product,,,ENSG00000115758,4953,P11926
ODC1-DT,HGNC:54070,ODC1-DT,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000257135,101929715,
ODCP,HGNC:8110,ODCP,7,pseudogene,pseudogene,,,ENSG00000244556,4954,
ODF1,HGNC:8113,ODF1,8,protein-coding gene,gene with protein product,,,ENSG00000155087,4956,Q14990
ODF2,HGNC:8114,ODF2,9,protein-coding gene,gene with protein product,,,ENSG00000136811,4957,Q5BJF6
ODF2-AS1,HGNC:49461,ODF2-AS1,9,non-coding RNA,"RNA, long non-coding",,,ENSG00000225951,107080620,
ODF2L,HGNC:29225,ODF2L,1,protein-coding gene,gene with protein product,,,ENSG00000122417,57489,Q9ULJ1
ODF3,HGNC:19905,ODF3,11,protein-coding gene,gene with protein product,,,ENSG00000177947,113746,Q96PU9
ODF3B,HGNC:34388,ODF3B,22,protein-coding gene,gene with protein product,,,ENSG00000177989,440836,A8MYP8
ODF3L1,HGNC:28735,ODF3L1,15,protein-coding gene,gene with protein product,,,ENSG00000182950,161753,Q8IXM7
ODF3L2,HGNC:26841,ODF3L2,19,protein-coding gene,gene with protein product,,2008-07-04,ENSG00000181781,284451,Q3SX64
ODF4,HGNC:19056,ODF4,17,protein-coding gene,gene with protein product,,,ENSG00000184650,146852,Q2M2E3
ODR4,HGNC:24299,ODR4,1,protein-coding gene,gene with protein product,,2017-10-17,ENSG00000157181,54953,Q5SWX8
OFCC1,HGNC:21017,OFCC1,6,other,unknown,,,ENSG00000181355,266553,Q8IZS5
OFD1,HGNC:2567,OFD1,X,protein-coding gene,gene with protein product,,,ENSG00000046651,8481,O75665
OFD1P1Y,HGNC:23873,OFD1P1Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000226011,378009,
OFD1P2Y,HGNC:23874,OFD1P2Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000226611,378010,
OFD1P3Y,HGNC:23875,OFD1P3Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000231988,386687,
OFD1P4Y,HGNC:23876,OFD1P4Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000229406,386688,
OFD1P5Y,HGNC:23877,OFD1P5Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000240438,386689,
OFD1P6Y,HGNC:13657,OFD1P6Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000242153,386690,
OFD1P7Y,HGNC:23879,OFD1P7Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000238088,386691,
OFD1P8Y,HGNC:23880,OFD1P8Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000231159,386692,
OFD1P9Y,HGNC:23881,OFD1P9Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000230476,386693,
OFD1P10Y,HGNC:23882,OFD1P10Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000225466,386694,
OFD1P11Y,HGNC:23883,OFD1P11Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000237302,386695,
OFD1P12Y,HGNC:23884,OFD1P12Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000232585,386696,
OFD1P13Y,HGNC:23885,OFD1P13Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000225287,386697,
OFD1P14Y,HGNC:23886,OFD1P14Y,Y,pseudogene,pseudogene,,2010-06-28,,386698,
OFD1P15Y,HGNC:23887,OFD1P15Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000234888,386699,
OFD1P16Y,HGNC:18213,OFD1P16Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000277519,442485,
OFD1P17,HGNC:1332,OFD1P17,5,pseudogene,pseudogene,,2010-05-12,ENSG00000228212,23738,
OFD1P18Y,HGNC:2589,OFD1P18Y,Y,pseudogene,pseudogene,,2010-06-28,ENSG00000235511,10751,
OGA,HGNC:7056,OGA,10,protein-coding gene,gene with protein product,,2018-04-09,ENSG00000198408,10724,O60502
OGDH,HGNC:8124,OGDH,7,protein-coding gene,gene with protein product,,,ENSG00000105953,4967,Q02218
OGDHL,HGNC:25590,OGDHL,10,protein-coding gene,gene with protein product,,,ENSG00000197444,55753,Q9ULD0
OGFOD1,HGNC:25585,OGFOD1,16,protein-coding gene,gene with protein product,,,ENSG00000087263,55239,Q8N543
OGFOD1P1,HGNC:39202,OGFOD1P1,13,pseudogene,pseudogene,,,ENSG00000231665,387924,
OGFOD2,HGNC:25823,OGFOD2,12,protein-coding gene,gene with protein product,,,ENSG00000111325,79676,Q6N063
OGFOD3,HGNC:26174,OGFOD3,17,protein-coding gene,gene with protein product,,2012-10-23,ENSG00000181396,79701,Q6PK18
OGFR,HGNC:15768,OGFR,20,protein-coding gene,gene with protein product,,,ENSG00000060491,11054,Q9NZT2
OGFR-AS1,HGNC:40724,OGFR-AS1,20,non-coding RNA,"RNA, long non-coding",,,ENSG00000229873,101409261,
OGFRL1,HGNC:21378,OGFRL1,6,protein-coding gene,gene with protein product,,,ENSG00000119900,79627,Q5TC84
OGFRP1,HGNC:50511,OGFRP1,22,pseudogene,pseudogene,,,ENSG00000182057,388906,
OGG1,HGNC:8125,OGG1,3,protein-coding gene,gene with protein product,,,ENSG00000114026,4968,O15527
OGN,HGNC:8126,OGN,9,protein-coding gene,gene with protein product,,,ENSG00000106809,4969,P20774
OGT,HGNC:8127,OGT,X,protein-coding gene,gene with protein product,,,ENSG00000147162,8473,O15294
OIP5,HGNC:20300,OIP5,15,protein-coding gene,gene with protein product,,,ENSG00000104147,11339,O43482
OIP5-AS1,HGNC:43563,OIP5-AS1,15,non-coding RNA,"RNA, long non-coding",,,ENSG00000247556,729082,
OIT3,HGNC:29953,OIT3,10,protein-coding gene,gene with protein product,,,ENSG00000138315,170392,Q8WWZ8
OLA1,HGNC:28833,OLA1,2,protein-coding gene,gene with protein product,,2007-07-27,ENSG00000138430,29789,Q9NTK5
OLA1P1,HGNC:45274,OLA1P1,22,pseudogene,pseudogene,,,ENSG00000213790,246785,
OLA1P2,HGNC:45277,OLA1P2,17,pseudogene,pseudogene,,,ENSG00000213671,106479059,
OLA1P3,HGNC:45278,OLA1P3,12,pseudogene,pseudogene,,,ENSG00000257966,101060020,
OLAH,HGNC:25625,OLAH,10,protein-coding gene,gene with protein product,,2006-07-07,ENSG00000152463,55301,Q9NV23
OLFM1,HGNC:17187,OLFM1,9,protein-coding gene,gene with protein product,,,ENSG00000130558,10439,Q99784
OLFM2,HGNC:17189,OLFM2,19,protein-coding gene,gene with protein product,,,ENSG00000105088,93145,O95897
OLFM3,HGNC:17990,OLFM3,1,protein-coding gene,gene with protein product,,,ENSG00000118733,118427,Q96PB7
OLFM4,HGNC:17190,OLFM4,13,protein-coding gene,gene with protein product,,,ENSG00000102837,10562,Q6UX06
OLFM5P,HGNC:51927,OLFM5P,11,pseudogene,pseudogene,,,ENSG00000224295,101927763,
OLFML1,HGNC:24473,OLFML1,11,protein-coding gene,gene with protein product,,,ENSG00000183801,283298,Q6UWY5
OLFML2A,HGNC:27270,OLFML2A,9,protein-coding gene,gene with protein product,,,ENSG00000185585,169611,Q68BL7
OLFML2B,HGNC:24558,OLFML2B,1,protein-coding gene,gene with protein product,,,ENSG00000162745,25903,Q68BL8
OLFML3,HGNC:24956,OLFML3,1,protein-coding gene,gene with protein product,,,ENSG00000116774,56944,Q9NRN5
OLIG1,HGNC:16983,OLIG1,21,protein-coding gene,gene with protein product,,,ENSG00000184221,116448,Q8TAK6
OLIG2,HGNC:9398,OLIG2,21,protein-coding gene,gene with protein product,,2001-12-07,ENSG00000205927,10215,Q13516
OLIG3,HGNC:18003,OLIG3,6,protein-coding gene,gene with protein product,,,ENSG00000177468,167826,Q7RTU3
OLMALINC,HGNC:28060,OLMALINC,10,non-coding RNA,"RNA, long non-coding",,2015-01-12,ENSG00000235823,90271,
OLR1,HGNC:8133,OLR1,12,protein-coding gene,gene with protein product,,,ENSG00000173391,4973,P78380
OMA1,HGNC:29661,OMA1,1,protein-coding gene,gene with protein product,,,ENSG00000162600,115209,Q96E52
OMD,HGNC:8134,OMD,9,protein-coding gene,gene with protein product,,,ENSG00000127083,4958,Q99983
OMG,HGNC:8135,OMG,17,protein-coding gene,gene with protein product,,,ENSG00000126861,4974,P23515
OMP,HGNC:8136,OMP,11,protein-coding gene,gene with protein product,,,ENSG00000254550,4975,P47874
ONECUT1,HGNC:8138,ONECUT1,15,protein-coding gene,gene with protein product,,,ENSG00000169856,3175,Q9UBC0
ONECUT2,HGNC:8139,ONECUT2,18,protein-coding gene,gene with protein product,,,ENSG00000119547,9480,O95948
ONECUT3,HGNC:13399,ONECUT3,19,protein-coding gene,gene with protein product,,,ENSG00000205922,390874,O60422
OOEP,HGNC:21382,OOEP,6,protein-coding gene,gene with protein product,,2007-11-13,ENSG00000203907,441161,A6NGQ2
OOEP-AS1,HGNC:39192,OOEP-AS1,6,non-coding RNA,"RNA, long non-coding",,2010-11-25,ENSG00000231332,106478938,
OOEPP1,HGNC:54933,OOEPP1,X,pseudogene,pseudogene,,,ENSG00000270759,117751733,
OOEPP2,HGNC:54934,OOEPP2,12,pseudogene,pseudogene,,,ENSG00000256192,117751741,
OOSP1,HGNC:49233,OOSP1,11,protein-coding gene,gene with protein product,,,ENSG00000284873,255649,A8MZH6
OOSP1P1,HGNC:49240,OOSP1P1,1,pseudogene,pseudogene,,,ENSG00000238037,106480251,
OOSP1P2,HGNC:49241,OOSP1P2,17,pseudogene,pseudogene,,,ENSG00000263749,106480252,
OOSP2,HGNC:26699,OOSP2,11,protein-coding gene,gene with protein product,,2013-10-14,ENSG00000149507,219990,Q86WS3
OOSP3,HGNC:53903,OOSP3,11,protein-coding gene,gene with protein product,,,ENSG00000285231,112577461,A0A2R8YFM6
OOSP4A,HGNC:53904,OOSP4A,11,protein-coding gene,gene with protein product,,,ENSG00000285010,112577462,A0A2R8YFL7
OOSP4B,HGNC:53905,OOSP4B,11,protein-coding gene,gene with protein product,,,ENSG00000255393,107987155,A0A2R8Y4Y8
OPA1,HGNC:8140,OPA1,3,protein-coding gene,gene with protein product,,,ENSG00000198836,4976,O60313
OPA1-AS1,HGNC:40421,OPA1-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000224855,100873941,
OPA3,HGNC:8142,OPA3,19,protein-coding gene,gene with protein product,,,ENSG00000125741,80207,Q9H6K4
OPALIN,HGNC:20707,OPALIN,10,protein-coding gene,gene with protein product,,2008-05-01,ENSG00000197430,93377,Q96PE5
OPCML,HGNC:8143,OPCML,11,protein-coding gene,gene with protein product,,,ENSG00000183715,4978,Q14982
OPCML-IT1,HGNC:41366,OPCML-IT1,11,non-coding RNA,"RNA, long non-coding",,,ENSG00000254896,100874333,
OPCML-IT2,HGNC:41365,OPCML-IT2,11,non-coding RNA,"RNA, long non-coding",,,ENSG00000255371,100874332,
OPHN1,HGNC:8148,OPHN1,X,protein-coding gene,gene with protein product,,,ENSG00000079482,4983,O60890
OPLAH,HGNC:8149,OPLAH,8,protein-coding gene,gene with protein product,,,ENSG00000178814,26873,O14841
OPN1LW,HGNC:9936,OPN1LW,X,protein-coding gene,gene with protein product,,,ENSG00000102076,5956,P04000
OPN1MW,HGNC:4206,OPN1MW,X,protein-coding gene,gene with protein product,,,ENSG00000268221,2652,P04001
OPN1MW2,HGNC:26952,OPN1MW2,X,protein-coding gene,gene with protein product,,,ENSG00000166160,728458,P0DN77
OPN1MW3,HGNC:51831,OPN1MW3,X,protein-coding gene,gene with protein product,,,ENSG00000269433,101060233,P0DN78
OPN1SW,HGNC:1012,OPN1SW,7,protein-coding gene,gene with protein product,,,ENSG00000128617,611,P03999
OPN3,HGNC:14007,OPN3,1,protein-coding gene,gene with protein product,,,ENSG00000054277,23596,Q9H1Y3
OPN4,HGNC:14449,OPN4,10,protein-coding gene,gene with protein product,,,ENSG00000122375,94233,Q9UHM6
OPN5,HGNC:19992,OPN5,6,protein-coding gene,gene with protein product,,,ENSG00000124818,221391,Q6U736
OPRD1,HGNC:8153,OPRD1,1,protein-coding gene,gene with protein product,,,ENSG00000116329,4985,P41143
OPRK1,HGNC:8154,OPRK1,8,protein-coding gene,gene with protein product,,,ENSG00000082556,4986,P41145
OPRL1,HGNC:8155,OPRL1,20,protein-coding gene,gene with protein product,,,ENSG00000125510,4987,P41146
OPRM1,HGNC:8156,OPRM1,6,protein-coding gene,gene with protein product,,,ENSG00000112038,4988,P35372
OPRPN,HGNC:17279,OPRPN,4,protein-coding gene,gene with protein product,,2016-03-08,ENSG00000171199,58503,Q99935
OPTC,HGNC:8158,OPTC,1,protein-coding gene,gene with protein product,,,ENSG00000188770,26254,Q9UBM4
OPTN,HGNC:17142,OPTN,10,protein-coding gene,gene with protein product,,,ENSG00000123240,10133,Q96CV9
OR1A1,HGNC:8179,OR1A1,17,protein-coding gene,gene with protein product,,,ENSG00000172146,8383,Q9P1Q5
OR1A2,HGNC:8180,OR1A2,17,protein-coding gene,gene with protein product,,,ENSG00000172150,26189,Q9Y585
OR1AA1P,HGNC:14750,OR1AA1P,X,pseudogene,pseudogene,,,ENSG00000234288,79312,
OR1AB1P,HGNC:15390,OR1AB1P,19,pseudogene,pseudogene,,,ENSG00000267450,81090,
OR1AC1P,HGNC:31243,OR1AC1P,17,pseudogene,pseudogene,,,ENSG00000267129,403231,
OR1B1,HGNC:8181,OR1B1,9,protein-coding gene,gene with protein product,,,ENSG00000280094,347169,Q8NGR6
OR1C1,HGNC:8182,OR1C1,1,protein-coding gene,gene with protein product,,,ENSG00000221888,26188,Q15619
OR1D2,HGNC:8183,OR1D2,17,protein-coding gene,gene with protein product,,,ENSG00000184166,4991,P34982
OR1D3P,HGNC:8184,OR1D3P,17,pseudogene,pseudogene,,,ENSG00000262106,8384,
OR1D4,HGNC:8185,OR1D4,17,protein-coding gene,gene with protein product,,,ENSG00000255095,653166,P47884
OR1D5,HGNC:8186,OR1D5,17,protein-coding gene,gene with protein product,,,ENSG00000262628,8386,P58170
OR1E1,HGNC:8189,OR1E1,17,protein-coding gene,gene with protein product,,,ENSG00000180016,8387,P30953
OR1E2,HGNC:8190,OR1E2,17,protein-coding gene,gene with protein product,,,ENSG00000127780,8388,P47887
OR1E3,HGNC:8191,OR1E3,17,protein-coding gene,gene with protein product,,2008-06-11,ENSG00000142163,8389,Q8WZA6
OR1F1,HGNC:8194,OR1F1,16,protein-coding gene,gene with protein product,,,ENSG00000168124,4992,O43749
OR1F2P,HGNC:8196,OR1F2P,16,pseudogene,pseudogene,,2007-11-28,ENSG00000203581,26184,Q96R84
OR1F12,HGNC:13964,OR1F12,6,other,unknown,,2008-06-11,ENSG00000220721,442179,Q8NHA8
OR1G1,HGNC:8204,OR1G1,17,protein-coding gene,gene with protein product,,,ENSG00000183024,8390,P47890
OR1H1P,HGNC:8206,OR1H1P,9,pseudogene,pseudogene,,,ENSG00000228914,26742,
OR1I1,HGNC:8207,OR1I1,19,protein-coding gene,gene with protein product,,,ENSG00000094661,126370,O60431
OR1J1,HGNC:8208,OR1J1,9,protein-coding gene,gene with protein product,,,ENSG00000136834,347168,Q8NGS3
OR1J2,HGNC:8209,OR1J2,9,protein-coding gene,gene with protein product,,,ENSG00000197233,26740,Q8NGS2
OR1J4,HGNC:8211,OR1J4,9,protein-coding gene,gene with protein product,,,ENSG00000239590,26219,Q8NGS1
OR1K1,HGNC:8212,OR1K1,9,protein-coding gene,gene with protein product,,,ENSG00000165204,392392,Q8NGR3
OR1L1,HGNC:8213,OR1L1,9,protein-coding gene,gene with protein product,,,ENSG00000173679,26737,Q8NH94
OR1L3,HGNC:8215,OR1L3,9,protein-coding gene,gene with protein product,,,ENSG00000171481,26735,Q8NH93
OR1L4,HGNC:8216,OR1L4,9,protein-coding gene,gene with protein product,,,ENSG00000136939,254973,Q8NGR5
OR1L6,HGNC:8218,OR1L6,9,protein-coding gene,gene with protein product,,,ENSG00000171459,392390,Q8NGR2
OR1L8,HGNC:15110,OR1L8,9,protein-coding gene,gene with protein product,,,ENSG00000171496,138881,Q8NGR8
OR1M1,HGNC:8220,OR1M1,19,protein-coding gene,gene with protein product,,,ENSG00000170929,125963,Q8NGA1
OR1M4P,HGNC:31244,OR1M4P,19,pseudogene,pseudogene,,,ENSG00000267154,403232,
OR1N1,HGNC:8221,OR1N1,9,protein-coding gene,gene with protein product,,,ENSG00000171505,138883,Q8NGS0
OR1N2,HGNC:15111,OR1N2,9,protein-coding gene,gene with protein product,,,ENSG00000171501,138882,Q8NGR9
OR1P1,HGNC:8222,OR1P1,17,protein-coding gene,gene with protein product,,2008-06-11,ENSG00000262085,8391,Q8NH06
OR1Q1,HGNC:8223,OR1Q1,9,protein-coding gene,gene with protein product,,,ENSG00000165202,158131,Q15612
OR1Q1BP,HGNC:55113,OR1Q1BP,15,pseudogene,pseudogene,,,ENSG00000285491,118568817,
OR1R1P,HGNC:8226,OR1R1P,17,pseudogene,pseudogene,,,ENSG00000180042,9596,
OR1S1,HGNC:8227,OR1S1,11,protein-coding gene,gene with protein product,,,ENSG00000280204,219959,Q8NH92
OR1S2,HGNC:15141,OR1S2,11,protein-coding gene,gene with protein product,,,ENSG00000197887,219958,Q8NGQ3
OR1X1P,HGNC:15062,OR1X1P,5,pseudogene,pseudogene,,,ENSG00000272494,402236,
OR1X5P,HGNC:31245,OR1X5P,5,pseudogene,pseudogene,,,ENSG00000214351,402240,
OR2A1,HGNC:8229,OR2A1,7,protein-coding gene,gene with protein product,,,ENSG00000221970,346528,Q8NGT9
OR2A1-AS1,HGNC:49168,OR2A1-AS1,7,non-coding RNA,"RNA, long non-coding",,,ENSG00000244479,101928492,
OR2A2,HGNC:8230,OR2A2,7,protein-coding gene,gene with protein product,,2004-03-10,ENSG00000221989,442361,Q6IF42
OR2A3P,HGNC:8231,OR2A3P,7,pseudogene,pseudogene,,,ENSG00000183122,202861,
OR2A4,HGNC:14729,OR2A4,6,protein-coding gene,gene with protein product,,,ENSG00000180658,79541,O95047
OR2A5,HGNC:8232,OR2A5,7,protein-coding gene,gene with protein product,,,ENSG00000221836,393046,Q96R48
OR2A7,HGNC:8234,OR2A7,7,protein-coding gene,gene with protein product,,,ENSG00000243896,401427,Q96R45
OR2A9P,HGNC:8236,OR2A9P,7,pseudogene,pseudogene,,,ENSG00000228960,441295,
OR2A12,HGNC:15082,OR2A12,7,protein-coding gene,gene with protein product,,2002-11-13,ENSG00000221858,346525,Q8NGT7
OR2A13P,HGNC:15083,OR2A13P,7,pseudogene,pseudogene,,,ENSG00000273234,392140,
OR2A14,HGNC:15084,OR2A14,7,protein-coding gene,gene with protein product,,2004-03-08,ENSG00000221938,135941,Q96R47
OR2A15P,HGNC:15085,OR2A15P,7,pseudogene,pseudogene,,,ENSG00000239981,135942,
OR2A20P,HGNC:15413,OR2A20P,7,pseudogene,pseudogene,,2004-03-10,ENSG00000170356,401428,
OR2A25,HGNC:19562,OR2A25,7,protein-coding gene,gene with protein product,,2004-03-10,ENSG00000221933,392138,A4D2G3
OR2A41P,HGNC:31246,OR2A41P,7,pseudogene,pseudogene,,,ENSG00000239967,403234,
OR2A42,HGNC:31230,OR2A42,7,protein-coding gene,gene with protein product,,,ENSG00000212807,402317,Q8NGT9
OR2AD1P,HGNC:14749,OR2AD1P,6,pseudogene,pseudogene,,,ENSG00000223677,79313,
OR2AE1,HGNC:15087,OR2AE1,7,protein-coding gene,gene with protein product,,,ENSG00000244623,81392,Q8NHA4
OR2AF1P,HGNC:14719,OR2AF1P,X,pseudogene,pseudogene,,,ENSG00000235730,79331,
OR2AG1,HGNC:15142,OR2AG1,11,protein-coding gene,gene with protein product,,,ENSG00000279486,144125,Q9H205
